Gene Symbol,Name,Entrez GeneId,Genome Location,Tier,Hallmark,Chr Band,Somatic,Germline,Tumour Types(Somatic),Tumour Types(Germline),Cancer Syndrome,Tissue Type,Molecular Genetics,Role in Cancer,Mutation Types,Translocation Partner,Other Germline Mut,Other Syndrome,Synonyms
ABI1,abl-interactor 1,10006,10:26746593-26860935,1,Yes,12.1,yes,,AML,,,L,Dom,"TSG, fusion",T,KMT2A,,,"10006,ABI-1,ABI1,E3B1,ENSG00000136754.17,Q8IZP0,SSH3BP1"
ABL1,v-abl Abelson murine leukemia viral oncogene homolog 1,25,9:130713946-130885683,1,Yes,34.12,yes,,"CML, ALL, T-ALL",,,L,Dom,"oncogene, fusion","T, Mis","BCR, ETV6, NUP214",,,"25,ABL,ABL1,ENSG00000097007.17,JTK7,P00519,c-ABL,p150"
ABL2,"c-abl oncogene 2, non-receptor tyrosine kinase",27,1:179099327-179229601,1,,25.2,yes,,AML,,,L,Dom,"oncogene, fusion",T,ETV6,,,"27,ABL2,ABLL,ARG,ENSG00000143322.19,P42684"
ACKR3,atypical chemokine receptor 3,57007,2:236569641-236582358,1,Yes,37.3,yes,,lipoma,,,M,Dom,"oncogene, fusion",T,HMGA2,,,"57007,ACKR3,CMKOR1,CXCR7,ENSG00000144476.5,GPR159,P25106,RDC1"
ACSL3,acyl-CoA synthetase long-chain family member 3,2181,2:222860934-222944639,1,Yes,36.1,yes,,prostate,,,E,Dom,fusion,T,ETV1,,,"2181,ACS3,ACSL3,ENSG00000123983.13,FACL3,O95573,PRO2194"
ACVR1,"activin A receptor, type I",90,2:157736444-157875111,1,Yes,24.1,yes,,DIPG,,,O,Dom,oncogene,Mis,,yes,Fibrodysplasia ossificans progressiva,"90,ACVR1,ACVR1A,ACVRLK2,ALK2,ENSG00000115170.13,Q04771,SKR1"
ACVR1B,Activin A Receptor Type 1B,91,12:51951701-51994217,1,,13.13,yes,,pancreatic cancer,,,E,,TSG,"D, F, Mis, N",,,,"91,ACVR1B,ACVRLK4,ALK4,ActRIB,ENSG00000135503.12,P36896,SKR2"
ACVR2A,activin A receptor type 2A,92,2:147844517-147930824,1,Yes,23.1,yes,,"large intestine carcinoma, stomach carcinoma, pancreatic carcinoma, biliary tract, oesophagus",,,E,Rec,TSG,"Mis, N, F",,,,"92,ACTRII,ACVR2,ACVR2A,ENSG00000121989.14,P27037"
AFDN,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4 (AF6)",4301,6:167827635-167970232,1,,27,yes,,AL,,,L,Dom,"oncogene, fusion",T,KMT2A,,,"4301,AF-6,AF6,AFDN,ENSG00000130396.20,MLLT4"
AFF1,"AF4/FMR2 family, member 1",4299,4:86935002-87141054,1,Yes,22.1,yes,,AL,,,L,Dom,fusion,T,KMT2A,,,"4299,AF-4,AF4,AFF1,ENSG00000172493.20,MLLT2,P51825,PBM1"
AFF3,"AF4/FMR2 family, member 3",3899,2:99551121-100106128,1,Yes,11.2,yes,,"ALL, T-ALL",,,L,Dom,"oncogene, fusion",T,"KMT2A, RUNX1",,,"3899,AFF3,ENSG00000144218.18,LAF4,MLLT2-like,P51826"
AFF4,"AF4/FMR2 family, member 4",27125,5:132875379-132963634,1,Yes,31.1,yes,,ALL,,,L,Dom,"oncogene, fusion",T,KMT2A,,,"27125,AF5Q31,AFF4,ENSG00000072364.12,MCEF,Q9UHB7"
AKT1,v-akt murine thymoma viral oncogene homolog 1,207,14:104769349-104794124,1,Yes,32.33,yes,,"breast, colorectal, ovarian, NSCLC",,,E,Dom,oncogene,Mis,,,,"207,AKT,AKT1,ENSG00000142208.15,P31749,PKB,PRKBA,RAC"
AKT2,v-akt murine thymoma viral oncogene homolog 2,208,19:40230317-40285395,1,,13.2,yes,,"ovarian, pancreatic",,,E,Dom,oncogene,A,,,,"208,AKT2,ENSG00000105221.16,P31751"
ALK,anaplastic lymphoma kinase (Ki-1),238,2:29192774-29921566,1,Yes,23.2,yes,yes,"ALCL, NSCLC, neuroblastoma, inflammatory myofibroblastic tumour, Spitzoid tumour",neuroblastoma,familial neuroblastoma,"L, E, M",Dom,"oncogene, fusion","T, Mis, A","NPM1, TPM3, TFG, TPM4, ATIC, CLTC, MSN, RNF213, CARS, EML4, KIF5B, C2orf22, DCTN1, HIP1, TPR, RANBP2, PPFIBP1, SEC31A, STRN, VCL, C2orf44, KLC1",,,"238,ALK,CD246,ENSG00000171094.17,Q9UM73"
AMER1,APC membrane recruitment protein 1,139285,X:64185117-64205744,1,Yes,11.2,yes,,Wilms tumour,,,O,Rec,TSG,"F, D, N, Mis",,,,"139285,AMER1,ENSG00000184675.9,FAM123B,FLJ39827,Q5JTC6,RP11-403E24.2,WTX"
APC,adenomatous polyposis of the colon gene,324,5:112737888-112846239,1,Yes,22.2,yes,yes,"colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS","colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS","adenomatous polyposis coli; Turcot syndrome","E, M, O",Rec,TSG,"D, Mis, N, F, S",,,,"324,APC,DP2,DP2.5,DP3,ENSG00000134982.16,P25054,PPP1R46"
APOBEC3B,apolipoprotein B mRNA editing enzyme catalytic subunit 3B,9582,22:38982409-38992784,1,Yes,13.1,,yes,,breast cancer,,E,Rec,"oncogene, TSG",D,,,,"9582,APOBEC3B,ENSG00000179750.15,FLJ21201,PHRBNL,Q9UH17"
AR,Androgen Receptor,367,X:67544036-67730619,1,Yes,12,yes,yes,prostate,,,E,Dom,oncogene,Mis,,yes,"Androgen insensitivity, Hypospadias 1, X-linked, Spinal and bulbar muscular atrophy of Kennedy","367,AIS,AR,DHTR,ENSG00000169083.16,HUMARA,NR3C4,P10275,SBMA,SMAX1"
ARHGAP26,Rho GTPase activating protein 26,23092,5:142770377-143229011,1,Yes,31.3,yes,,"AML, MDS",,,L,Dom,"TSG, fusion","T, F, S",KMT2A,,,"23092,ARHGAP26,ENSG00000145819.16,GRAF,KIAA0621,OPHN1L,OPHN1L1,Q9UNA1"
ARHGAP35,Rho GTPase activating protein 35,2909,19:46918676-47005077,1,,13.32,yes,,endometrial carcinoma,,,E,,TSG,"N, Mis, F, O",,,,"2909,ARHGAP35,ENSG00000160007.18,GRF-1,GRLF1,KIAA1722,P190A,Q9NRY4,p190ARhoGAP,p190RhoGAP"
ARHGEF12,RHO guanine nucleotide exchange factor (GEF) 12 (LARG),23365,11:120337078-120489936,1,,23.3,yes,,AML,,,L,Dom,"TSG, fusion",T,KMT2A,,,"23365,ARHGEF12,ENSG00000196914.8,KIAA0382,LARG,Q9NZN5"
ARID1A,AT rich interactive domain 1A (SWI-like),8289,1:26696033-26782110,1,Yes,36.11,yes,,"clear cell ovarian carcinoma, RCC, breast",,,E,Rec,"TSG, fusion","Mis, N, F, S, D, T",MAST2,,,"8289,ARID1A,B120,BAF250,BAF250a,C10rf4,C1orf4,ENSG00000117713.19,O14497,P270,SMARCF1"
ARID1B,AT rich interactive domain 1B,57492,6:156777374-157210779,1,Yes,25.3,yes,,"breast, hepatocellular carcinoma, clear cell ovarian carcinoma",,,E,Rec,TSG,"Mis, F, N, O",,,,"57492,6A3-5,ARID1B,BAF250b,DAN15,ELD/OSA1,ENSG00000049618.22,KIAA1235,Q8NFD5,p250R"
ARID2,AT rich interactive domain 2,196528,12:45729665-45908040,1,Yes,12,yes,,hepatocellular carcinoma,,,E,Rec,TSG,"N, S, F",,,,"196528,ARID2,BAF200,DKFZp686G052,ENSG00000189079.15,FLJ30619,KIAA1557,Q68CP9"
ARNT,aryl hydrocarbon receptor nuclear translocator,405,1:150809705-150876768,1,Yes,21.3,yes,,AML,,,L,Dom,"oncogene, TSG, fusion",T,ETV6,,,"405,ARNT,ENSG00000143437.20,HIF-1beta,P27540,bHLHe2"
ASPSCR1,"alveolar soft part sarcoma chromosome region, candidate 1",79058,17:81977550-82017404,1,Yes,25.3,yes,,alveolar soft part sarcoma,,,M,Dom,fusion,T,TFE3,,,"79058,ASPL,ASPS,ASPSCR1,ENSG00000169696.15,Q9BZE9,TUG,UBXD9,UBXN9"
ASXL1,additional sex combs like 1,171023,20:32358330-32439319,1,Yes,11.21,yes,,"MDS, CMML",,,L,Rec,TSG,"F, N, Mis",,yes,Bohring-Opitz syndrome,"171023,ASXL1,ENSG00000171456.17,KIAA0978,Q8IXJ9"
ATF1,activating transcription factor 1,466,12:50764292-50821122,1,Yes,13.12,yes,,"malignant melanoma of soft parts, angiomatoid fibrous histiocytoma",,,"E, M",Dom,"oncogene, fusion",T,"EWSR1, FUS",,,"466,ATF1,ENSG00000123268.8,P18846,TREB36"
ATIC,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase,471,2:215311817-215349763,1,Yes,35,yes,,ALCL,,,L,Dom,fusion,T,ALK,,,"471,AICARFT,ATIC,ENSG00000138363.14,IMPCHASE,P31939,PURH"
ATM,ataxia telangiectasia mutated,472,11:108222832-108369099,1,Yes,22.3,yes,yes,T-PLL,"leukaemia, lymphoma, medulloblastoma, glioma",ataxia-telangiectasia,"L, O",Rec,TSG,"D, Mis, N, F, S",,,,"472,ATA,ATC,ATD,ATDC,ATM,ENSG00000149311.18,Q13315,TEL1,TELO1"
ATP1A1,"ATPase, Na+/K+ transporting, alpha 1 polypeptide",476,1:116373867-116404772,1,Yes,13.1,yes,,adrenal aldosterone producing adenoma,,,E,Dom,"oncogene, TSG","Mis, O",,,,"476,ATP1A1,ENSG00000163399.15,P05023"
ATP2B3,"ATPase, Ca++ transporting, plasma membrane 3",492,X:153536122-153582929,1,Yes,28,yes,,adrenal aldosterone producing adenoma,,,E,Dom,TSG,O,,,,"492,ATP2B3,CFAP39,CLA2,ENSG00000067842.17,PMCA3,Q16720,SCAX1"
ATR,ATR serine/threonine kinase,545,3:142449237-142578826,1,Yes,23,yes,yes,"endometrial, gastric, epithelial ovarian, myeloma",oropharyngeal,familial cutaneous telangiectasia and cancer syndrome,"E, L",Dom,TSG,"F, Mis",,yes,Seckel syndrome 1,"545,ATR,ENSG00000175054.14,FRP1,MEC1,Q13535,SCKL,SCKL1"
ATRX,alpha thalassemia/mental retardation syndrome X-linked,546,X:77504878-77786269,1,Yes,21.1,yes,,"pancreatic neuroendocrine tumours, paediatric GBM",,,E,Rec,TSG,"Mis, F, N",,yes,ATR-X (alpha thalassemia/mental retardation) syndrome,"546,ATRX,ENSG00000085224.21,JMS,MRX52,P46100,RAD54,XH2,XNP"
AXIN1,axin 1,8312,16:287440-352659,1,Yes,13.3,yes,,"colorectal, endometrial, prostate, hepatocellular carcinoma, hepatoblastoma, sporadic medulloblastoma",,,"E, O",Rec,TSG,"D, Mis, N, F, S",,,,"8312,AXIN1,ENSG00000103126.14,O15169,PPP1R49"
